legacy_token	genuine_meos_symbol	regular_token	outcome
BIGINT_EXTENT	bigint_extent_transfn	BIGINT_EXTENT_TRANSFN	RENAME
BIGINT_UNION	bigint_union_transfn	BIGINT_UNION_TRANSFN	RENAME
CROSS_DISTANCE	tdistance_tgeo_tgeo	TDISTANCE_TGEO_TGEO	BENCHMARK_KEEP
FLOAT_EXTENT	float_extent_transfn	FLOAT_EXTENT_TRANSFN	RENAME
FLOAT_UNION	float_union_transfn	FLOAT_UNION_TRANSFN	RENAME
INT_EXTENT	int_extent_transfn	INT_EXTENT_TRANSFN	RENAME
INT_UNION	int_union_transfn	INT_UNION_TRANSFN	RENAME
PAIR_MEETING	(benchmark: tdwithin pair-meeting query)	PAIR_MEETING	BENCHMARK_KEEP
TEMPORAL_ACONTAINS_GEOMETRY	acontains_tgeo_geo	ACONTAINS_TGEO_GEO	COLLAPSE_PROMOTE
TEMPORAL_ACONTAINS_TCBUFFER	acontains_tcbuffer_geo	ACONTAINS_TCBUFFER_GEO	RENAME
TEMPORAL_ACONTAINS_TCBUFFER_CBUFFER	acontains_tcbuffer_cbuffer	ACONTAINS_TCBUFFER_CBUFFER	RENAME
TEMPORAL_ACONTAINS_TGEOMETRY	acontains_tgeo_tgeo	ACONTAINS_TGEO_TGEO	COLLAPSE_PROMOTE
TEMPORAL_ACONTAINS_TNPOINT_GEOMETRY	acontains_tgeo_geo	ACONTAINS_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ACONTAINS_TNPOINT_TNPOINT	acontains_tgeo_tgeo	ACONTAINS_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ACONTAINS_TPOSE_GEOMETRY	acontains_tgeo_geo	ACONTAINS_TGEO_GEO	COLLAPSE_REMOVE
TEMPORAL_ACONTAINS_TPOSE_TPOSE	acontains_tgeo_tgeo	ACONTAINS_TGEO_TGEO	COLLAPSE_REMOVE
TEMPORAL_ACOVERS_TCBUFFER	acovers_tcbuffer_geo	ACOVERS_TCBUFFER_GEO	RENAME
TEMPORAL_ACOVERS_TCBUFFER_CBUFFER	acovers_tcbuffer_cbuffer	ACOVERS_TCBUFFER_CBUFFER	RENAME
TEMPORAL_ADISJOINT_GEOMETRY	adisjoint_tgeo_geo	ADISJOINT_TGEO_GEO	COLLAPSE_PROMOTE
TEMPORAL_ADISJOINT_TCBUFFER	adisjoint_tcbuffer_geo	ADISJOINT_TCBUFFER_GEO	RENAME
